,loss,val_loss
0,13.543231964111328,11.803131103515625
1,10.567821502685547,9.192296028137207
2,8.332704544067383,6.785508632659912
3,6.490084648132324,5.215482234954834
4,5.33876895904541,4.270437240600586
5,4.6343889236450195,3.772212505340576
6,4.157443523406982,3.340236186981201
7,3.8187415599823,3.1071135997772217
8,3.559034824371338,2.917975664138794
9,3.349780559539795,2.7854995727539062
10,3.173344373703003,2.7160565853118896
11,3.0357956886291504,2.5675981044769287
12,2.9106605052948,2.430081844329834
13,2.8038008213043213,2.355825901031494
14,2.7072627544403076,2.3164756298065186
15,2.617577075958252,2.2807254791259766
16,2.5445520877838135,2.2890613079071045
17,2.494840621948242,2.167177438735962
18,2.430980682373047,2.1606647968292236
19,2.373145580291748,2.1250743865966797
20,2.3274459838867188,2.062880754470825
21,2.282731056213379,2.049954652786255
22,2.233055591583252,2.0874786376953125
23,2.200005054473877,2.0382206439971924
24,2.171625852584839,1.98895263671875
25,2.1207282543182373,2.008394956588745
26,2.0808045864105225,1.95865797996521
27,2.0612854957580566,1.935948371887207
28,2.019378900527954,1.8936231136322021
29,1.996677279472351,1.9214236736297607
30,1.9697719812393188,1.8780919313430786
31,1.9455958604812622,1.9216020107269287
32,1.922532558441162,1.9017527103424072
33,1.8968058824539185,1.8661938905715942
34,1.888350248336792,1.8483072519302368
35,1.8574540615081787,1.8575915098190308
36,1.864035964012146,1.8070915937423706
37,1.8183212280273438,1.8080456256866455
38,1.8099924325942993,1.8227132558822632
39,1.7986268997192383,1.8609611988067627
40,1.767439365386963,1.7679566144943237
41,1.7437046766281128,1.8341425657272339
42,1.7402690649032593,1.7938311100006104
43,1.723728895187378,1.8012971878051758
44,1.713489294052124,1.7479037046432495
45,1.6985996961593628,1.7643345594406128
46,1.6803511381149292,1.8893263339996338
47,1.67376708984375,1.8260951042175293
48,1.661852478981018,1.7669612169265747
49,1.6435637474060059,1.7478607892990112
50,1.654561996459961,1.7746561765670776
51,1.642937183380127,1.818132758140564
52,1.6336714029312134,1.777626872062683
53,1.6049749851226807,1.7600620985031128
54,1.5972263813018799,1.7517849206924438
55,1.5841240882873535,1.7573188543319702
56,1.5728673934936523,1.7468174695968628
57,1.5587165355682373,1.7750579118728638
58,1.5402449369430542,1.7758804559707642
59,1.5501046180725098,1.7204946279525757
60,1.5490251779556274,1.758638620376587
61,1.5281306505203247,1.7515887022018433
62,1.5163334608078003,1.7151926755905151
63,1.5096566677093506,1.7508814334869385
64,1.5086171627044678,1.737986445426941
65,1.4877586364746094,1.7506458759307861
66,1.4854525327682495,1.7377859354019165
67,1.4759513139724731,1.7059251070022583
68,1.4709746837615967,1.7481886148452759
69,1.4492634534835815,1.7165687084197998
70,1.454384684562683,1.7002716064453125
71,1.4435575008392334,1.695784091949463
72,1.4316717386245728,1.7355072498321533
73,1.4266636371612549,1.701035976409912
74,1.4147613048553467,1.7130082845687866
75,1.4166386127471924,1.7008100748062134
76,1.40296471118927,1.7333650588989258
77,1.4037712812423706,1.7043026685714722
78,1.4017751216888428,1.7077466249465942
79,1.3963817358016968,1.6978002786636353
80,1.4049794673919678,1.734839677810669
81,1.3827118873596191,1.721274971961975
82,1.375359058380127,1.7097604274749756
83,1.3669261932373047,1.749205231666565
84,1.3598341941833496,1.740893840789795
85,1.3692482709884644,1.6851694583892822
86,1.3461594581604004,1.7195202112197876
87,1.3558825254440308,1.70050048828125
88,1.3445653915405273,1.6988451480865479
89,1.3446404933929443,1.7299524545669556
90,1.3282523155212402,1.6934212446212769
91,1.320398211479187,1.7089052200317383
92,1.3457717895507812,1.6682184934616089
93,1.3154897689819336,1.7064952850341797
94,1.3053463697433472,1.732142686843872
95,1.2983163595199585,1.6782196760177612
96,1.3028686046600342,1.6894028186798096
97,1.3026548624038696,1.722446084022522
98,1.3089779615402222,1.7061607837677002
99,1.2786788940429688,1.727219581604004
